serialno,price,category,target
1,25795,Electronics,1
2,10860,Electronics,0
3,48158,Books,1
4,21284,Books,0
5,16265,Clothing,1
6,26850,Furniture,1
7,47194,Books,1
8,31962,Electronics,1
9,26023,Clothing,1
10,11685,Books,1
11,10769,Electronics,0
12,12433,Electronics,0
13,15311,Furniture,0
14,47819,Clothing,1
15,49188,Clothing,1
16,27568,Furniture,1
17,29769,Furniture,1
18,38693,Clothing,0
19,16396,Clothing,0
20,37480,Books,1
21,35658,Books,0
22,28942,Furniture,0
23,28431,Books,1
24,12747,Electronics,0
25,10189,Books,1
26,29118,Books,0
27,45773,Electronics,1
28,11899,Furniture,1
29,11267,Electronics,1
30,41551,Books,1
31,21394,Furniture,0
32,13556,Books,1
33,13890,Electronics,1
34,40740,Electronics,1
35,24502,Books,0
36,31777,Clothing,1
37,20627,Clothing,0
38,18792,Electronics,1
39,18433,Electronics,0
40,21016,Clothing,0
41,33897,Clothing,1
42,12612,Books,0
43,33483,Books,1
44,27159,Clothing,1
45,24541,Books,1
46,45920,Books,0
47,36531,Furniture,0
48,11585,Books,1
49,13943,Electronics,1
50,33939,Books,0
51,29457,Books,1
52,11021,Clothing,1
53,21653,Electronics,1
54,23417,Books,0
55,19692,Books,0
56,16873,Furniture,0
57,15675,Books,1
58,10161,Books,1
59,47065,Furniture,1
60,36557,Clothing,0
61,43763,Books,1
62,42606,Furniture,1
63,21534,Electronics,1
64,39127,Clothing,1
65,35851,Electronics,0
66,11016,Electronics,0
67,34253,Furniture,1
68,34276,Books,0
69,33247,Furniture,0
70,34300,Furniture,1
71,18529,Furniture,1
72,27262,Furniture,0
73,19268,Clothing,1
74,31271,Books,0
75,22185,Electronics,1
76,31243,Electronics,0
77,49099,Books,1
78,18571,Electronics,0
79,49976,Books,0
80,48044,Electronics,0
81,12568,Furniture,1
82,12027,Electronics,0
83,12695,Books,0
84,15258,Books,1
85,32002,Books,1
86,49504,Books,0
87,43159,Books,0
88,23986,Clothing,1
89,22666,Clothing,1
90,48660,Electronics,1
91,13561,Books,1
92,36854,Electronics,1
93,48952,Books,0
94,32662,Books,1
95,18392,Clothing,0
96,40535,Clothing,0
97,23067,Furniture,0
98,33599,Clothing,1
99,45222,Furniture,0
100,21837,Furniture,0
101,24039,Furniture,1
102,40818,Furniture,0
103,29115,Furniture,0
104,20965,Electronics,1
105,34538,Clothing,0
106,15056,Furniture,0
107,42482,Books,0
108,18110,Clothing,1
109,23773,Clothing,1
110,37266,Furniture,1
111,27412,Electronics,0
112,43270,Furniture,0
113,16910,Electronics,1
114,35446,Books,0
115,10206,Clothing,0
116,31518,Books,1
117,32361,Electronics,1
118,33419,Electronics,0
119,32403,Books,0
120,28141,Electronics,0
121,24820,Books,1
122,16374,Clothing,1
123,11678,Books,1
124,43827,Clothing,1
125,26198,Books,0
126,19914,Electronics,1
127,37890,Books,1
128,32299,Electronics,1
129,12693,Books,1
130,39467,Books,1
131,39723,Furniture,0
132,13627,Electronics,0
133,35939,Furniture,1
134,31834,Electronics,0
135,28047,Furniture,1
136,36105,Clothing,1
137,20230,Books,0
138,25707,Electronics,0
139,31976,Electronics,1
140,33776,Books,1
141,40080,Electronics,1
142,11306,Electronics,0
143,16776,Furniture,1
144,37251,Electronics,1
145,19474,Clothing,1
146,31959,Clothing,0
147,15530,Books,1
148,39320,Electronics,1
149,13748,Books,0
150,41968,Clothing,1
151,42562,Electronics,1
152,23545,Electronics,0
153,10663,Books,1
154,44766,Clothing,0
155,17994,Electronics,0
156,38021,Books,1
157,40303,Clothing,1
158,13304,Books,1
159,49353,Furniture,1
160,27675,Electronics,0
161,33938,Furniture,1
162,33664,Clothing,0
163,11636,Furniture,1
164,30080,Furniture,1
165,37728,Clothing,1
166,36736,Books,0
167,38673,Furniture,1
168,47505,Books,1
169,10854,Furniture,1
170,34548,Books,1
171,48623,Clothing,0
172,17392,Furniture,1
173,31556,Clothing,0
174,48559,Furniture,0
175,36309,Clothing,0
176,31919,Clothing,0
177,14931,Furniture,0
178,42970,Furniture,0
179,22688,Furniture,1
180,35342,Electronics,0
181,47157,Books,0
182,12327,Electronics,0
183,10197,Electronics,1
184,33509,Clothing,1
185,44698,Furniture,0
186,25087,Books,1
187,32671,Clothing,0
188,35184,Electronics,0
189,37848,Furniture,1
190,30666,Clothing,0
191,25708,Furniture,1
192,36370,Clothing,1
193,12811,Furniture,0
194,16546,Electronics,0
195,44754,Books,1
196,40206,Electronics,0
197,21411,Books,0
198,12911,Furniture,0
199,11734,Clothing,1
200,28227,Electronics,1
